Ticker,Price Oct 23 (Rs),Price Apr 23 (Rs),% Difference,,,,,,,,,,,,
JKCEMENT.NS,3152.45,4111.86,30.43,,,,,,,,,,,,
AVANTIFEED.NS,393.37,512.62,30.32,,,,,,,,,,,,
VTL.NS,346.92,450.65,29.9,,,,,,,,,,,,
J&KBANK.NS,96.61,125.45,29.85,,,,,,,,,,,,
APOLLOTYRE.NS,364.28,472.5,29.71,,,,,,,,,,,,
FSL.NS,152.07,196.97,29.53,,,,,,,,,,,,
ACC.NS,1884.34,2435.79,29.26,,,,,,,,,,,,
TITAGARH.NS,767.17,991.63,29.26,,,,,,,,,,,,
RELIANCE.NS,1123.29,1448.6,28.96,,,,,,,,,,,,
HDFCAMC.NS,1364.21,1758.1,28.87,,,,,,,,,,,,
ANGELONE.NS,215.22,276.09,28.28,,,,,,,,,,,,
PNCINFRA.NS,340.16,435.74,28.1,,,,,,,,,,,,
USHAMART.NS,278.79,355.21,27.41,,,,,,,,,,,,
NATCOPHARM.NS,796.09,1012.05,27.13,,,,,,,,,,,,
MINDACORP.NS,324.45,411.07,26.7,,,,,,,,,,,,
LTF.NS,128.62,162.93,26.68,,,,,,,,,,,,
MUTHOOTFIN.NS,1236.23,1561.83,26.34,,,,,,,,,,,,
WELSPUNLIV.NS,126.25,159.08,26.01,,,,,,,,,,,,
FINPIPE.NS,197.71,248.78,25.83,,,,,,,,,,,,
UNOMINDA.NS,575.08,723.58,25.82,,,,,,,,,,,,
NETWORK18.NS,70,88.05,25.79,,,,,,,,,,,,
ABCAPITAL.NS,172.55,216.85,25.67,,,,,,,,,,,,
GSFC.NS,182.17,228.71,25.55,,,,,,,,,,,,
AUROPHARMA.NS,867.68,1089.16,25.53,,,,,,,,,,,,
INDIANB.NS,392.65,492.01,25.3,,,,,,,,,,,,
GRASIM.NS,1881.12,2352.52,25.06,,,,,,,,,,,,
BSOFT.NS,509.55,636.89,24.99,,,,,,,,,,,,
GESHIP.NS,769.47,961.36,24.94,,,,,,,,,,,,
AJANTPHARM.NS,1671.77,2087.76,24.88,,,,,,,,,,,,
APOLLOHOSP.NS,4937.57,6160.58,24.77,,,,,,,,,,,,
APLLTD.NS,737.49,919.54,24.69,,,,,,,,,,,,
GRANULES.NS,330.71,412.14,24.62,,,,,,,,,,,,
LINDEINDIA.NS,6104.14,7605,24.59,,,,,,,,,,,,
MASTEK.NS,2122.45,2642.75,24.51,,,,,,,,,,,,
NYKAA.NS,139.05,172.75,24.24,,,,,,,,,,,,
LTTS.NS,4102.24,5096.69,24.24,,,,,,,,,,,,
SAREGAMA.NS,335.83,416.84,24.12,,,,,,,,,,,,
PIDILITIND.NS,1161.61,1439.98,23.96,,,,,,,,,,,,
MMTC.NS,60.4,74.85,23.92,,,,,,,,,,,,
SAMMAANCAP.NS,138.62,171.75,23.9,,,,,,,,,,,,
UTIAMC.NS,702.37,870.03,23.87,,,,,,,,,,,,
BIOCON.NS,225.64,279.39,23.82,,,,,,,,,,,,
METROPOLIS.NS,368.91,456.55,23.76,,,,,,,,,,,,
TVSMOTOR.NS,1567.01,1938.26,23.69,,,,,,,,,,,,
SONATSOFTW.NS,521.08,642.57,23.32,,,,,,,,,,,,
TIINDIA.NS,2898.53,3573.13,23.27,,,,,,,,,,,,
MARUTI.NS,10342.95,12736.79,23.14,,,,,,,,,,,,
NH.NS,1011.37,1244.37,23.04,,,,,,,,,,,,
ABFRL.NS,214.2,263.5,23.02,,,,,,,,,,,,
RKFORGE.NS,616.63,754.15,22.3,,,,,,,,,,,,
LATENTVIEW.NS,409.85,501.1,22.26,,,,,,,,,,,,
JUBLINGREA.NS,432.85,528.82,22.17,,,,,,,,,,,,
RAYMOND.NS,1700.75,2077.01,22.12,,,,,,,,,,,,
IEX.NS,120.77,147.4,22.05,,,,,,,,,,,,
LT.NS,2908.1,3548.89,22.03,,,,,,,,,,,,
PERSISTENT.NS,2858.54,3487.78,22.01,,,,,,,,,,,,
ABSLAMC.NS,415.09,506.07,21.92,,,,,,,,,,,,
ICICIGI.NS,1375.21,1673.08,21.66,,,,,,,,,,,,
BIRLACORPN.NS,1193.73,1450.17,21.48,,,,,,,,,,,,
ECLERX.NS,967.85,1175.5,21.45,,,,,,,,,,,,
RRKABEL.NS,1337.85,1624.17,21.4,,,,,,,,,,,,
CEATLTD.NS,2040.43,2476.21,21.36,,,,,,,,,,,,
EASEMYTRIP.NS,19.45,23.58,21.2,,,,,,,,,,,,
HCLTECH.NS,1120.43,1357.33,21.14,,,,,,,,,,,,
RAINBOW.NS,1106.24,1338.66,21.01,,,,,,,,,,,,
WIPRO.NS,179.2,216.59,20.86,,,,,,,,,,,,
HAVELLS.NS,1265.69,1528.47,20.76,,,,,,,,,,,,
GODREJCP.NS,941.53,1136.71,20.73,,,,,,,,,,,,
LEMONTREE.NS,111.85,135,20.7,,,,,,,,,,,,
SRF.NS,2156.7,2602.29,20.66,,,,,,,,,,,,
SYRMA.NS,609.4,464.93,-23.71,,,,,,,,,,,,
MANYAVAR.NS,1274.38,905.94,-28.91,,,,,,,,,,,,
RAJESHEXPO.NS,431.7,295.65,-31.51,,,,,,,,,,,,
IIFL.NS,604.34,407.19,-32.62,,,,,,,,,,,,
MOTILALOFS.NS,899.95,568.7,-36.81,,,,,,,,,,,,
ZEEL.NS,242.61,139.47,-42.51,,,,,,,,,,,,
PAYTM.NS,923.7,382.7,-58.57,,,,,,,,,,,,
CGCL.NS,737.69,227,-69.23,,,,,,,,,,,,
GPIL.NS,588.36,171.15,-70.91,,,,,,,,,FACT.NS,624.15,RENUKA.NS,46.1
FACT.NS,624.15,682.35,9.324681567,,,,,,,,,SUPREMEIND.NS,"3,745.20",CERA.NS,"7,912.45"
SUPREMEIND.NS,"3,745.20","4,385.10",17.08586991,,,,,,,,,KPRMILL.NS,768.1,TRIVENI.NS,318.4
KPRMILL.NS,768.1,785.45,2.258820466,,,,,,,,,SBILIFE.NS,"1,328.60",BALRAMCHIN.NS,398.15
SBILIFE.NS,"1,328.60","1,465.20",10.28149932,,,,,,,,,SUNTV.NS,584.35,ERIS.NS,842.1
SUNTV.NS,584.35,612.8,4.868657483,,,,,,,,,BBTC.NS,"1,285.40",WHIRLPOOL.NS,"1,562.30"
BBTC.NS,"1,285.40","1,568.40",22.01649292,,,,,,,,,HOMEFIRST.NS,865.15,KNRCON.NS,248.6
HOMEFIRST.NS,865.15,895.15,3.467606773,,,,,,,,,IGL.NS,462.8,AIAENG.NS,"3,412.15"
IGL.NS,462.8,442.3,-4.429559205,,,,,,,,,CROMPTON.NS,292.4,PIIND.NS,"3,385.40"
CROMPTON.NS,292.4,305.65,4.531463748,,,,,,,,,TATACOMM.NS,"1,742.15",TITAN.NS,"3,245.60"
TATACOMM.NS,"1,742.15","1,885.40",8.222598513,,,,,,,,,BALAMINES.NS,"2,112.30",STARHEALTH.NS,584.2
BALAMINES.NS,"2,112.30","2,280.15",7.946314444,,,,,,,,,MPHASIS.NS,"2,215.40",SBICARD.NS,768.15
MPHASIS.NS,"2,215.40","2,342.90",5.755168367,,,,,,,,,M&MFIN.NS,284.1,FINEORG.NS,"4,612.40"
M&MFIN.NS,284.1,268.4,-5.526223161,,,,,,,,,ASTRAL.NS,"1,842.15",DEEPAKFERT.NS,632.82
ASTRAL.NS,"1,842.15","1,985.60",7.787096599,,,,,,,,,KAJARIACER.NS,"1,185.30",ICICIBANK.NS,924.15
KAJARIACER.NS,"1,185.30","1,215.35",2.53522315,,,,,,,,,SYNGENE.NS,712.45,APTUS.NS,292.15
SYNGENE.NS,712.45,698.2,-2.000140361,,,,,,,,,TRIDENT.NS,34.6,PATANJALI.NS,"1,285.10"
TRIDENT.NS,34.6,38.45,11.12716763,,,,,,,,,FINCABLES.NS,895.4,RCF.NS,128.45
FINCABLES.NS,895.4,"1,012.40",13.06678579,,,,,,,,,CCL.NS,592.15,HDFCBANK.NS,"1,485.60"
CCL.NS,592.15,585.15,-1.182132906,,,,,,,,,UPL.NS,584.15,RBLBANK.NS,228.3
UPL.NS,584.15,498.7,-14.6280921,,,,,,,,,BANDHANBNK.NS,242.1,TIMKEN.NS,"2,912.45"
BANDHANBNK.NS,242.1,185.35,-23.44072697,,,,,,,,,3MINDIA.NS,"28,412.50",ULTRACEMCO.NS,"8,415.60"
3MINDIA.NS,"28,412.50","30,240.50",6.433787945,,,,,,,,,CUB.NS,134.15,TCS.NS,"3,485.40"
ICICIBANK.NS,924.15,"1,093.50",18.32494725,,,,,,,,,JKLAKSHMI.NS,682.15,SCHAEFFLER.NS,"2,842.15"
APTUS.NS,292.15,312.45,6.948485367,,,,,,,,,,,,
PATANJALI.NS,"1,285.10","1,415.60",10.15485176,,,,,,,,,,,,
RCF.NS,128.45,158.4,23.31646555,,,,,,,,,,,,
HDFCBANK.NS,"1,485.60","1,512.35",1.800619278,,,,,,,,,,,,
RBLBANK.NS,228.3,258.1,13.05300044,,,,,,,,,,,,
TIMKEN.NS,"2,912.45","3,185.30",9.368401174,,,,,,,,,,,,
ULTRACEMCO.NS,"8,415.60","9,642.15",14.57471838,,,,,,,,,,,,
CUB.NS,"3,485.40",148.2,-95.74797728,,,,,,,,,,,,
TCS.NS,"3,485.40","3,875.40",11.18953348,,,,,,,,,,,,
JKLAKSHMI.NS,682.15,812.35,19.08671113,,,,,,,,,,,,
SCHAEFFLER.NS,"2,842.15","3,245.60",14.19523952,,,,,,,,,,,,
RENUKA.NS,46.1,44.8,-2.819956616,,,,,,,,,,,,
CERA.NS,"7,912.45","7,652.30",-3.287856479,,,,,,,,,,,,
TRIVENI.NS,318.4,345.15,8.40138191,,,,,,,,,,,,
BALRAMCHIN.NS,398.15,378.45,-4.947883963,,,,,,,,,,,,
ERIS.NS,842.1,895.1,6.293789336,,,,,,,,,,,,
WHIRLPOOL.NS,"1,562.30","1,485.60",-4.909428407,,,,,,,,,,,,
KNRCON.NS,248.6,265.4,6.757843926,,,,,,,,,,,,
AIAENG.NS,"3,412.15","3,742.15",9.671321601,,,,,,,,,,,,
PIIND.NS,"3,385.40","3,845.60",13.59366692,,,,,,,,,,,,
TITAN.NS,"3,245.60","3,612.45",11.30299482,,,,,,,,,,,,
STARHEALTH.NS,584.2,568.4,-2.704553235,,,,,,,,,,,,
SBICARD.NS,768.15,742.3,-3.365228146,,,,,,,,,,,,
FINEORG.NS,"4,612.40","4,245.15",-7.962232244,,,,,,,,,,,,
DEEPAKFERT.NS,632.82,542.8,-14.22521412,,,,,,,,,,,,
